type,lat,lon,highway_type,destination,destination_ref,ref,name
ramp,43.7555309,-79.3346901,motorway_junction,,,14,
ramp,43.7255298,-79.3305335,motorway_junction,,,10,
ramp,43.7689419,-79.3343753,motorway_junction,,,,
ramp,43.7675254,-79.3343615,motorway_junction,,,,
ramp,43.7666169,-79.3536635,motorway_junction,,,375,
ramp,43.7682983,-79.3273776,motorway_junction,,,375,
ramp,43.7685461,-79.3265949,motorway_junction,,,375,
ramp,43.7678813,-79.3259759,motorway_junction,,,376,
ramp,43.6481414,-79.3605147,motorway_junction,,,155,
ramp,43.6462243,-79.368164,motorway_junction,,,154,
ramp,43.6378351,-79.3993498,motorway_junction,,,153,
ramp,43.6331047,-79.4283169,motorway_junction,,,149,
ramp,43.6341035,-79.4375266,motorway_junction,,,149,
ramp,43.6263761,-79.4858841,motorway_junction,,,146,
ramp,43.6217305,-79.5050659,motorway_junction,,,144,
ramp,43.6203168,-79.5123354,motorway_junction,,,142B,
ramp,43.423404,-80.2773282,motorway_junction,,,286,
ramp,43.4144393,-80.3206292,motorway_junction,,,282,
ramp,43.4143958,-80.3127672,motorway_junction,,,284,
ramp,43.4015471,-80.3794074,motorway_junction,Kitchener / Waterloo,,278B,
ramp,43.7664455,-79.3522707,motorway_junction,,,375,
ramp,43.767786,-79.3363094,motorway_junction,,,,
ramp,43.7686716,-79.3311085,motorway_junction,,,,
ramp,43.4180364,-80.2906082,motorway_junction,,,286,
ramp,43.4320524,-80.2517166,motorway_junction,,,,
ramp,43.4464924,-80.1832434,motorway_junction,,,295,
ramp,43.4508778,-80.1294734,motorway_junction,,,299,
ramp,43.7665063,-79.3458347,motorway_junction,,,,
ramp,43.7663729,-79.3416992,motorway_junction,,,,
ramp,43.7656473,-79.3397386,motorway_junction,,,,
ramp,43.7714029,-79.3391912,motorway_junction,,,,
ramp,43.7695059,-79.339568,motorway_junction,,,,
ramp,43.7832969,-79.3412654,motorway_junction,,,18,
ramp,43.7719041,-79.3390139,motorway_junction,,,17,
ramp,43.7666916,-79.3444496,motorway_junction,,,,
ramp,43.4492464,-80.1696255,motorway_junction,,,295,
ramp,43.6821878,-79.3638748,motorway_junction,,,,
ramp,43.4136636,-80.3363191,motorway_junction,,,282,
ramp,43.4083713,-80.3652047,motorway_junction,,,278,
ramp,43.4050431,-80.3726946,motorway_junction,,,,
ramp,43.4087555,-80.3869436,motorway_junction,,,,
ramp,43.3993543,-80.3833786,motorway_junction,,,278A,
ramp,43.6980999,-79.3405621,motorway_junction,,,7A,
ramp,43.6999946,-79.3381811,motorway_junction,,,7A,
ramp,43.4555892,-80.1193714,motorway_junction,,,299,
ramp,43.4932305,-79.9843,motorway_junction,,,312,
ramp,43.5396629,-79.8679454,motorway_junction,,,324,
ramp,43.5962333,-79.801246,motorway_junction,,,330,
ramp,43.5993501,-79.7934066,motorway_junction,,,333,
ramp,43.6075633,-79.7408805,motorway_junction,,,,
ramp,43.4513988,-80.1782751,motorway_junction,,,,
ramp,43.4528508,-80.1239521,motorway_junction,,,,
ramp,43.4894342,-79.9908173,motorway_junction,,,312,
ramp,43.6273366,-79.6898655,motorway_junction,,,342,
ramp,43.6383154,-79.6607855,motorway_junction,,,346,
ramp,43.6658273,-79.5980062,motorway_junction,,,348,
ramp,43.6328854,-79.559747,motorway_junction,,,,
ramp,43.6371078,-79.5606462,motorway_junction,,,,
ramp,43.6509899,-79.565995,motorway_junction,,,,
ramp,43.6386483,-79.5606859,motorway_junction,,,,
ramp,43.6178567,-79.5524247,motorway_junction,,,,
ramp,43.7237854,-79.3320698,motorway_junction,,,,
ramp,43.7223676,-79.3283958,motorway_junction,,,,
ramp,43.62763,-79.5563667,motorway_junction,,,,
ramp,43.6469486,-79.5637839,motorway_junction,,,,
ramp,43.6668737,-79.572913,motorway_junction,,,,
ramp,43.6744123,-79.5921392,motorway_junction,,,,
ramp,43.6507435,-79.6321359,motorway_junction,,,346,
ramp,43.6461403,-79.6443325,motorway_junction,,,344,
ramp,43.6444498,-79.6678016,motorway_junction,,,,
ramp,43.6761575,-79.7053727,motorway_junction,,,5,
ramp,43.6824419,-79.7080145,motorway_junction,,,7,
ramp,43.6446325,-79.6501259,motorway_junction,,,,
ramp,43.5902088,-79.6558983,motorway_junction,,,117,
ramp,43.5579417,-79.6908625,motorway_junction,,,112,
ramp,43.6403299,-79.6616395,motorway_junction,,,,
ramp,43.6143043,-79.5477123,motorway_junction,,,,
ramp,43.6149038,-79.5446882,motorway_junction,,,139,
ramp,43.61583,-79.5373115,motorway_junction,,,139,
ramp,43.6188136,-79.522799,motorway_junction,,,141,
ramp,43.620036,-79.5169039,motorway_junction,,,142A,
ramp,43.6211196,-79.5109091,motorway_junction,,,142B,
ramp,43.6186159,-79.5209761,motorway_junction,,,141,
ramp,43.6196879,-79.5155094,motorway_junction,,,142A,
ramp,43.6219748,-79.5058764,motorway_junction,,,142 A-B,
ramp,43.6200649,-79.5155228,motorway_junction,,,,
ramp,43.6722771,-79.5805721,motorway_junction,,,,
ramp,43.682378,-79.5948418,motorway_junction,,,,
ramp,43.6933386,-79.6047196,motorway_junction,,,,
ramp,43.7141357,-79.617493,motorway_junction,,,,
ramp,43.7451967,-79.6294191,motorway_junction,,,19,
ramp,43.4927514,-79.9889653,motorway_junction,,,,
ramp,43.454678,-80.1247416,motorway_junction,,,,
ramp,43.7641548,-79.3822128,motorway_junction,,,,
ramp,43.7494865,-79.4147222,motorway_junction,,,,
ramp,43.7336332,-79.4379865,motorway_junction,,,365,
ramp,43.7198732,-79.4936173,motorway_junction,,,,
ramp,43.717781,-79.5060179,motorway_junction,,,,
ramp,43.7143365,-79.5313807,motorway_junction,,,359,
ramp,43.7013406,-79.5608199,motorway_junction,,,,
ramp,43.6948277,-79.5670057,motorway_junction,,,354,
ramp,43.6762788,-79.5781937,motorway_junction,,,351,
ramp,43.6563975,-79.6196209,motorway_junction,,,,
ramp,43.6450148,-79.6459689,motorway_junction,,,344,
ramp,43.7065395,-79.5554067,motorway_junction,,,356,
ramp,43.7211061,-79.4862475,motorway_junction,,,362,
ramp,43.7200825,-79.4940963,motorway_junction,,,,
ramp,43.7174857,-79.5055603,motorway_junction,,,,
ramp,43.7174696,-79.5121465,motorway_junction,,,359,
ramp,43.7120363,-79.5439775,motorway_junction,,,356,
ramp,43.7108465,-79.5480732,motorway_junction,,,355,
ramp,43.7241844,-79.4760296,motorway_junction,,,362,
ramp,43.7265391,-79.4632492,motorway_junction,,,364,
ramp,43.7329342,-79.4406579,motorway_junction,,,,
ramp,43.740339,-79.4258893,motorway_junction,,,367,
ramp,43.7657825,-79.3756139,motorway_junction,,,,
ramp,43.7668744,-79.3551817,motorway_junction,,,373,
ramp,43.8415449,-79.5474463,motorway_junction,,,35,
ramp,43.8533639,-79.5502524,motorway_junction,,,35,
ramp,43.8597609,-79.551533,motorway_junction,,,37,
ramp,43.6339546,-79.4712854,motorway_junction,,,,
ramp,43.8128671,-79.5447068,motorway_junction,,,29,
ramp,43.7253393,-79.5239512,motorway_junction,,,,
ramp,43.8163494,-79.5449515,motorway_junction,,,32,
ramp,43.7908796,-79.3424643,motorway_junction,,,20,
ramp,43.8076942,-79.3461593,motorway_junction,,,22,
ramp,43.4797156,-79.7721722,motorway_junction,,,18,
ramp,43.5192186,-79.7353969,motorway_junction,,,24,
ramp,43.5744319,-79.7945206,motorway_junction,,,31,
ramp,43.5830686,-79.8058178,motorway_junction,,,34A,
ramp,43.6850641,-79.5988763,motorway_junction,,,,
ramp,43.4649293,-79.6802624,motorway_junction,,,118,
ramp,43.6096156,-79.554433,motorway_junction,,,139,
ramp,43.6039485,-79.5606492,motorway_junction,,,138,
ramp,43.7127664,-79.4427137,motorway_junction,,,,
ramp,43.7188825,-79.4455067,motorway_junction,,,,
ramp,43.7248629,-79.4473829,motorway_junction,,,,
ramp,43.7310516,-79.450866,motorway_junction,,,,
ramp,43.7351789,-79.4505722,motorway_junction,,,,
ramp,43.7328081,-79.4503643,motorway_junction,,,,
ramp,43.7268241,-79.4477872,motorway_junction,,,,
ramp,43.7269881,-79.4471402,motorway_junction,,,,
ramp,43.7289269,-79.4465198,motorway_junction,,,,
ramp,43.7281047,-79.4559579,motorway_junction,,,365,
