sample_order,timestamp,latitude,longitude,speed_kmh
1,26094,43.411728,-80.395088,0.0
2,26095,43.411583,-80.394722,121.2
3,26096,43.411442,-80.394341,124.3
4,26097,43.411301,-80.393982,118.7
5,26098,43.411156,-80.393608,123.3
6,26099,43.411011,-80.393242,121.2
7,26100,43.41087,-80.392876,120.5
8,26101,43.410721,-80.392502,124.0
9,26102,43.410583,-80.392151,116.1
10,26103,43.410439,-80.391785,121.0
11,26104,43.410305,-80.391434,115.3
12,26105,43.41016,-80.391083,117.4
13,26106,43.410023,-80.390732,115.9
14,26107,43.409889,-80.390373,117.4
15,26108,43.409752,-80.390022,115.9
16,26109,43.409615,-80.389679,113.8
17,26110,43.409485,-80.389336,112.5
18,26111,43.409348,-80.388992,114.1
19,26112,43.40921,-80.388649,114.0
20,26113,43.409081,-80.388306,112.3
21,26114,43.408939,-80.387962,115.1
22,26115,43.408806,-80.387619,113.1
23,26116,43.408669,-80.387291,110.0
24,26117,43.408524,-80.386963,111.7
25,26118,43.408371,-80.386635,113.4
26,26119,43.408211,-80.386307,114.9
27,26120,43.408047,-80.385994,112.2
28,26121,43.407875,-80.385674,115.8
29,26122,43.407696,-80.385361,115.8
30,26123,43.40752,-80.385048,115.1
31,26124,43.407341,-80.384758,110.7
32,26125,43.407158,-80.384453,115.0
33,26126,43.406963,-80.384155,116.6
34,26127,43.406773,-80.38385,116.8
35,26128,43.406586,-80.383545,116.1
36,26129,43.406391,-80.383247,116.6
37,26130,43.4062,-80.38295,115.4
38,26131,43.406013,-80.382652,114.5
39,26132,43.40583,-80.382362,111.7
40,26133,43.40564,-80.382057,116.8
41,26134,43.405441,-80.381752,119.2
42,26135,43.405243,-80.381447,119.0
43,26136,43.405048,-80.381157,114.9
44,26137,43.404858,-80.380867,113.6
45,26138,43.404663,-80.380569,116.6
46,26139,43.40448,-80.38028,111.5
47,26140,43.404293,-80.379997,111.3
48,26141,43.404148,-80.379738,95.1
49,26142,43.404007,-80.379478,94.4
50,26143,43.40387,-80.379211,95.1
51,26144,43.403732,-80.378944,95.3
52,26145,43.403606,-80.378654,98.3
53,26146,43.403496,-80.378365,94.9
54,26147,43.403408,-80.378082,89.5
55,26148,43.403336,-80.377785,91.1
56,26149,43.403278,-80.377487,89.7
57,26150,43.403233,-80.37719,88.2
58,26151,43.403198,-80.376884,90.1
59,26152,43.403175,-80.376595,84.6
60,26153,43.403168,-80.376282,91.1
61,26154,43.403172,-80.375977,88.7
62,26155,43.403194,-80.375671,89.4
63,26156,43.403229,-80.375366,89.8
64,26157,43.403278,-80.375053,93.1
65,26158,43.403336,-80.374763,87.5
66,26159,43.403423,-80.374481,89.1
67,26160,43.403515,-80.374191,92.0
68,26161,43.403618,-80.373909,91.8
69,26162,43.403736,-80.373642,90.9
70,26163,43.40387,-80.373375,94.4
71,26164,43.404003,-80.373123,90.6
72,26165,43.404156,-80.372879,93.7
73,26166,43.404305,-80.372635,92.7
74,26167,43.404453,-80.372375,96.1
75,26168,43.404594,-80.372124,92.3
76,26169,43.404728,-80.371849,96.3
77,26170,43.404865,-80.371574,97.0
78,26171,43.404984,-80.3713,92.8
79,26172,43.40509,-80.37101,94.4
80,26173,43.405205,-80.37072,96.1
81,26174,43.405315,-80.370438,93.1
82,26175,43.405422,-80.370163,90.7
83,26176,43.405529,-80.369881,92.5
84,26177,43.40564,-80.369598,93.5
85,26178,43.40575,-80.369331,89.3
86,26179,43.405869,-80.369049,94.8
87,26180,43.405987,-80.368782,90.9
88,26181,43.406113,-80.368515,92.6
89,26182,43.406239,-80.36824,94.6
90,26183,43.406372,-80.367981,92.2
91,26184,43.406513,-80.367714,96.0
92,26185,43.406651,-80.367447,95.3
93,26186,43.406799,-80.367195,94.2
94,26187,43.406956,-80.366936,98.1
95,26188,43.407116,-80.366692,95.6
96,26189,43.407276,-80.36644,97.3
97,26190,43.407433,-80.366196,94.8
98,26191,43.407589,-80.365936,98.1
99,26192,43.407738,-80.365685,94.3
100,26193,43.407887,-80.36544,92.9
101,26194,43.408039,-80.365181,96.8
102,26195,43.408195,-80.364929,96.3
103,26196,43.408352,-80.364677,96.5
104,26197,43.408508,-80.364418,97.8
105,26198,43.408657,-80.364159,96.1
106,26199,43.40881,-80.363907,95.5
107,26200,43.408947,-80.363632,97.0
108,26201,43.409081,-80.363358,96.1
109,26202,43.40921,-80.363083,95.2
110,26203,43.409348,-80.362801,98.9
111,26204,43.409481,-80.362518,98.0
112,26205,43.409622,-80.362251,96.0
113,26206,43.409767,-80.361984,96.9
114,26207,43.40992,-80.361717,98.9
115,26208,43.41008,-80.36145,100.7
116,26209,43.410236,-80.361191,97.8
117,26210,43.410397,-80.360924,100.9
118,26211,43.410561,-80.360657,101.7
119,26212,43.410721,-80.36039,100.7
120,26213,43.410877,-80.360123,99.6
121,26214,43.411034,-80.35984,103.5
122,26215,43.411186,-80.359566,100.3
123,26216,43.411335,-80.359291,99.8
124,26217,43.41148,-80.359009,100.5
125,26218,43.41161,-80.358711,101.1
126,26219,43.411739,-80.358391,106.4
127,26220,43.41188,-80.35807,109.1
128,26221,43.412006,-80.357758,103.8
129,26222,43.412128,-80.357437,105.3
130,26223,43.412247,-80.357109,106.6
131,26224,43.412361,-80.356781,105.7
132,26225,43.412457,-80.356445,105.0
133,26226,43.41256,-80.35611,105.8
134,26227,43.412647,-80.355766,105.9
135,26228,43.412735,-80.355423,105.8
136,26229,43.412819,-80.355072,107.5
137,26230,43.412895,-80.354721,106.5
138,26231,43.412968,-80.354355,110.4
139,26232,43.413033,-80.353989,109.6
140,26233,43.41309,-80.35363,106.9
141,26234,43.413147,-80.353271,106.9
142,26235,43.413189,-80.352913,105.5
143,26236,43.413216,-80.352554,105.0
144,26237,43.413239,-80.352196,104.5
145,26238,43.413258,-80.35183,106.7
146,26239,43.413265,-80.351479,102.1
147,26240,43.413273,-80.351128,102.1
148,26241,43.413273,-80.350792,97.7
149,26242,43.413273,-80.350441,102.1
150,26243,43.413273,-80.350105,97.7
151,26244,43.413284,-80.349777,95.5
152,26245,43.4133,-80.349449,95.6
153,26246,43.413311,-80.349121,95.5
154,26247,43.413322,-80.348793,95.5
155,26248,43.413334,-80.34845,99.9
156,26249,43.413338,-80.348122,95.4
157,26250,43.413345,-80.347794,95.4
158,26251,43.413353,-80.347458,97.8
159,26252,43.413361,-80.347122,97.8
160,26253,43.413364,-80.346794,95.4
161,26254,43.413368,-80.346458,97.7
162,26255,43.41338,-80.34613,95.5
163,26256,43.413391,-80.345802,95.5
164,26257,43.413399,-80.345459,99.8
165,26258,43.413399,-80.345123,97.7
166,26259,43.413406,-80.344772,102.1
167,26260,43.413406,-80.344414,104.1
168,26261,43.413418,-80.344078,97.8
169,26262,43.413433,-80.343727,102.2
170,26263,43.413441,-80.343369,104.2
171,26264,43.413445,-80.34301,104.4
172,26265,43.413448,-80.342651,104.4
173,26266,43.413456,-80.342278,108.5
174,26267,43.413467,-80.341919,104.5
175,26268,43.413471,-80.341553,106.4
176,26269,43.413471,-80.341179,108.8
177,26270,43.413479,-80.340813,106.5
178,26271,43.413483,-80.340446,106.7
179,26272,43.413494,-80.34008,106.5
180,26273,43.413506,-80.339722,104.2
181,26274,43.413521,-80.339363,104.6
182,26275,43.413536,-80.338997,106.6
183,26276,43.413559,-80.338638,104.8
184,26277,43.413567,-80.338272,106.5
185,26278,43.413586,-80.337914,104.4
186,26279,43.413597,-80.33754,108.8
187,26280,43.413609,-80.337189,102.2
188,26281,43.413616,-80.33683,104.4
189,26282,43.413631,-80.336487,99.9
190,26283,43.413635,-80.336128,104.4
191,26284,43.413639,-80.335777,102.1
192,26285,43.413647,-80.335442,97.5
193,26286,43.41367,-80.335106,98.1
194,26287,43.413681,-80.334763,99.8
195,26288,43.413689,-80.334419,100.1
196,26289,43.413704,-80.334091,95.6
197,26290,43.413715,-80.333763,95.5
198,26291,43.413727,-80.333443,93.2
199,26292,43.413738,-80.333115,95.5
200,26293,43.413757,-80.332794,93.7
201,26294,43.413769,-80.332474,93.2
202,26295,43.413773,-80.33213,100.0
203,26296,43.413784,-80.331802,95.5
204,26297,43.413799,-80.331459,99.9
205,26298,43.413807,-80.331116,99.8
206,26299,43.413815,-80.330765,102.1
207,26300,43.41383,-80.330414,102.2
208,26301,43.413841,-80.330078,97.8
209,26302,43.413853,-80.329735,99.9
210,26303,43.413864,-80.329384,102.2
211,26304,43.413879,-80.329033,102.2
212,26305,43.413891,-80.328682,102.2
213,26306,43.413914,-80.328323,104.8
214,26307,43.413937,-80.327972,102.5
215,26308,43.41396,-80.327637,97.8
216,26309,43.413971,-80.327286,102.2
217,26310,43.413982,-80.32695,97.8
218,26311,43.414001,-80.326607,100.0
219,26312,43.414009,-80.326263,100.1
220,26313,43.414024,-80.325928,97.6
221,26314,43.414036,-80.325592,97.8
222,26315,43.414043,-80.325249,99.8
223,26316,43.414062,-80.324921,95.7
224,26317,43.414078,-80.324577,100.2
225,26318,43.414093,-80.324242,97.6
226,26319,43.414116,-80.323891,102.5
227,26320,43.414127,-80.32354,102.2
228,26321,43.414143,-80.323196,100.2
229,26322,43.414162,-80.322838,104.4
230,26323,43.414177,-80.322495,99.9
231,26324,43.414196,-80.322151,100.3
232,26325,43.414207,-80.3218,102.2
233,26326,43.414223,-80.321434,106.6
234,26327,43.414234,-80.321075,104.5
235,26328,43.414242,-80.320694,110.8
236,26329,43.414249,-80.320328,106.5
237,26330,43.414257,-80.319962,106.5
238,26331,43.414265,-80.319603,104.4
239,26332,43.414268,-80.319214,113.1
240,26333,43.414284,-80.318855,104.6
241,26334,43.414288,-80.318489,106.4
242,26335,43.414295,-80.318115,108.8
243,26336,43.414303,-80.317734,110.8
244,26337,43.41431,-80.31736,108.8
245,26338,43.414322,-80.316978,111.2
246,26339,43.414333,-80.316605,108.6
247,26340,43.414352,-80.316246,104.7
248,26341,43.414364,-80.31588,106.5
249,26342,43.414379,-80.315514,106.6
250,26343,43.414368,-80.315109,117.8
251,26344,43.41436,-80.314713,115.2
252,26345,43.41436,-80.314331,111.1
253,26346,43.414352,-80.313934,115.5
254,26347,43.414368,-80.313583,102.3
255,26348,43.414387,-80.313217,106.7
256,26349,43.41441,-80.312851,106.8
257,26350,43.414425,-80.312462,113.3
258,26351,43.414444,-80.312088,109.0
259,26352,43.414463,-80.311707,111.0
260,26353,43.414463,-80.311295,119.8
261,26354,43.414478,-80.310921,108.9
262,26355,43.414501,-80.310539,111.5
263,26356,43.41452,-80.310158,111.0
264,26357,43.414528,-80.309769,113.2
265,26358,43.414528,-80.309395,108.8
266,26359,43.414547,-80.309021,109.0
267,26360,43.414562,-80.308647,108.9
268,26361,43.414585,-80.308266,111.2
269,26362,43.4146,-80.307884,111.2
270,26363,43.414616,-80.307518,106.6
271,26364,43.414639,-80.307137,111.2
272,26365,43.414658,-80.30677,107.0
273,26366,43.414677,-80.306396,109.0
274,26367,43.414688,-80.306023,108.5
275,26368,43.4147,-80.305656,106.8
276,26369,43.414719,-80.305298,104.4
277,26370,43.414734,-80.304939,104.6
278,26371,43.414745,-80.304573,106.5
279,26372,43.414757,-80.30423,99.9
280,26373,43.414772,-80.303886,100.2
281,26374,43.414791,-80.303535,102.3
282,26375,43.414803,-80.303192,99.9
283,26376,43.414829,-80.302841,102.6
284,26377,43.414852,-80.302483,104.5
285,26378,43.414883,-80.302132,102.8
286,26379,43.414928,-80.301765,108.2
287,26380,43.414986,-80.301407,106.7
288,26381,43.415047,-80.301048,107.2
289,26382,43.415123,-80.30069,108.5
290,26383,43.415203,-80.300331,109.2
291,26384,43.415295,-80.299988,106.3
292,26385,43.415398,-80.299637,110.1
293,26386,43.415504,-80.299286,110.5
294,26387,43.415607,-80.298927,112.2
295,26388,43.415722,-80.298576,112.0
296,26389,43.415829,-80.298233,108.5
297,26390,43.415932,-80.297882,110.1
298,26391,43.416039,-80.297523,112.8
299,26392,43.416149,-80.297157,115.2
300,26393,43.416252,-80.296806,110.1
301,26394,43.416359,-80.29644,114.7
302,26395,43.41647,-80.296082,113.2
303,26396,43.416569,-80.295723,111.7
304,26397,43.416679,-80.295349,117.3
305,26398,43.416782,-80.294983,114.1
306,26399,43.416889,-80.294617,114.7
307,26400,43.417,-80.29425,115.6
308,26401,43.417107,-80.293869,118.8
309,26402,43.417217,-80.293488,119.2
310,26403,43.417328,-80.293114,117.5
311,26404,43.417439,-80.292725,121.5
312,26405,43.417557,-80.292336,122.6
313,26406,43.417664,-80.291962,116.9
314,26407,43.417774,-80.291565,123.5
315,26408,43.417889,-80.291191,118.1
316,26409,43.418007,-80.290802,122.6
317,26410,43.418121,-80.290405,124.1
318,26411,43.418236,-80.290024,120.0
319,26412,43.418343,-80.289642,119.0
320,26413,43.418449,-80.289261,118.6
321,26414,43.41856,-80.288887,117.5
322,26415,43.418667,-80.288521,114.7
323,26416,43.418777,-80.288162,113.3
324,26417,43.418888,-80.287804,113.2
325,26418,43.418999,-80.287453,111.3
326,26419,43.419121,-80.287117,109.2
327,26420,43.419239,-80.286781,108.5
328,26421,43.419365,-80.286446,109.7
329,26422,43.419491,-80.286118,107.9
330,26423,43.419628,-80.285782,112.0
331,26424,43.419765,-80.285454,110.0
332,26425,43.419903,-80.285126,110.2
333,26426,43.420044,-80.28479,112.8
334,26427,43.420189,-80.284454,113.6
335,26428,43.420326,-80.284119,111.8
336,26429,43.420467,-80.283783,112.8
337,26430,43.420609,-80.283447,113.0
338,26431,43.420753,-80.283119,111.4
339,26432,43.420887,-80.282776,113.2
340,26433,43.421032,-80.28244,113.6
341,26434,43.421173,-80.282097,114.6
342,26435,43.421322,-80.281761,114.5
343,26436,43.421455,-80.281425,111.3
344,26437,43.4216,-80.281082,115.4
345,26438,43.421741,-80.280754,110.8
346,26439,43.421879,-80.280418,112.2
347,26440,43.42202,-80.28009,110.8
348,26441,43.422161,-80.279755,112.6
349,26442,43.422302,-80.279419,112.8
350,26443,43.422447,-80.279083,113.6
