Record,Serial,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Fix_Status,DOP,V_GPS,Limit,Alerts,Trip,KeyTag,Engine RPM,V_ODO,V,Ay,Ax,Absolute throttle position,Relative throttle position,Absolute throttle position B,Accelerator pedal position D,Accelerator pedal position E
8,380,2009,12,11,14,39,45,0,0,1,0,0,0,0,782,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
9,380,2009,12,11,14,39,46,0,0,1,0,0,0,0,782,0,1302.75,0,0,0,0,NaN,NaN,NaN,NaN,NaN
10,380,2009,12,11,14,39,47,0,0,1,0,0,0,0,782,0,1231.5,0,0,0,0,20.384,NaN,NaN,NaN,NaN
11,380,2009,12,11,14,39,48,0,0,1,0,0,0,0,782,0,NaN,NaN,0,0,0,20.384,NaN,NaN,NaN,NaN
12,380,2009,12,11,14,39,49,0,0,1,0,0,0,0,782,0,1246.25,0,0,0,0,20.384,NaN,NaN,NaN,NaN
13,380,2009,12,11,14,39,50,0,0,1,0,0,0,0,782,0,1251.25,0,0,0,0,NaN,NaN,NaN,NaN,NaN
14,380,2009,12,11,14,39,51,0,0,1,0,0,0,0,782,0,1248.5,NaN,0,0,0.563164689,20.384,NaN,NaN,NaN,NaN
15,380,2009,12,11,14,39,52,0,0,1,0,0,0,0,782,0,NaN,0,0,0,0.492020444,20.384,NaN,NaN,NaN,NaN
16,380,2009,12,11,14,39,53,0,0,1,0,0,0,0,782,0,1194.75,2,2,0,-0.625321326,NaN,NaN,NaN,NaN,NaN
17,380,2009,12,11,14,39,54,0,0,1,0,0,0,0,782,0,1196,0,0,0,-0.484168235,20.384,NaN,NaN,NaN,NaN
18,380,2009,12,11,14,39,55,0,0,1,0,0,0,0,782,0,1188.25,NaN,0,0,0.061164672,20.384,NaN,NaN,NaN,NaN
19,380,2009,12,11,14,39,56,0,0,1,0,0,0,0,782,0,NaN,0,0,0,1.118602483,20.384,NaN,NaN,NaN,NaN
20,380,2009,12,11,14,39,57,0,0,1,0,0,0,0,782,0,1383.75,0,0,0,1.829764056,NaN,NaN,NaN,NaN,NaN
21,380,2009,12,11,14,39,58,0,0,1,0,0,0,0,782,0,1254.5,4,4,0,0.050429389,20.384,NaN,NaN,NaN,NaN
22,380,2009,12,11,14,39,59,0,0,1,0,0,0,0,782,0,1220.25,NaN,3,0,-1.414282436,20.384,NaN,NaN,NaN,NaN
23,380,2009,12,11,14,40,0,0,0,1,0,0,0,0,782,0,NaN,2,2,0,-1.229246302,20.384,NaN,NaN,NaN,NaN
24,380,2009,12,11,14,40,1,0,0,1,0,0,0,0,782,0,1199.25,0,0,0,-0.407874768,NaN,NaN,NaN,NaN,NaN
25,380,2009,12,11,14,40,2,0,0,1,0,0,0,0,782,0,1178.25,0,0,0,0.051526566,20.384,NaN,NaN,NaN,NaN
26,380,2009,12,11,14,40,3,0,0,1,0,0,0,0,782,0,NaN,NaN,0,0,-0.006509319,20.384,NaN,NaN,NaN,NaN
27,380,2009,12,11,14,40,4,0,0,1,0,0,0,0,782,0,1132.5,0,0,0,0.000822318,20.384,NaN,NaN,NaN,NaN
28,380,2009,12,11,14,40,5,0,0,1,0,0,0,0,782,0,1115,0,0,0,-0.000103883,NaN,NaN,NaN,NaN,NaN
29,380,2009,12,11,14,40,6,0,0,1,0,0,0,0,782,0,1109.5,0,0,0,1.31E-05,20.384,NaN,NaN,NaN,NaN
30,380,2009,12,11,14,40,7,0,0,1,0,0,0,0,782,0,NaN,NaN,0,0,-1.66E-06,20.384,NaN,NaN,NaN,NaN
31,380,2009,12,11,14,40,8,0,0,1,0,0,0,0,782,0,1084.5,0,0,0,0.281582554,20.384,NaN,NaN,NaN,NaN
32,380,2009,12,11,14,40,9,0,0,1,0,0,0,0,782,0,1073,0,0,0,0.809174885,NaN,NaN,NaN,NaN,NaN
33,380,2009,12,11,14,40,10,0,0,1,0,0,0,0,782,0,1076.25,NaN,1,0,1.305689163,20.384,NaN,NaN,NaN,NaN
34,380,2009,12,11,14,40,11,0,0,1,0,0,0,0,782,0,NaN,2,2,0,0.116635444,20.384,NaN,NaN,NaN,NaN
35,380,2009,12,11,14,40,12,0,0,1,0,0,0,0,782,0,1055.5,4,4,0,-1.704228551,20.384,NaN,NaN,NaN,NaN
36,380,2009,12,11,14,40,13,0,0,1,0,0,0,0,782,0,1067,0,0,0,-0.911035245,NaN,NaN,NaN,NaN,NaN
37,380,2009,12,11,14,40,14,0,0,1,0,0,0,0,782,0,1048.75,NaN,0,0,0.115090516,20.384,NaN,NaN,NaN,NaN
38,380,2009,12,11,14,40,15,0,0,1,0,0,0,0,782,0,NaN,0,0,0,0.267043031,20.384,NaN,NaN,NaN,NaN
39,380,2009,12,11,14,40,16,0,0,1,0,0,0,0,782,0,1038.5,0,0,0,1.233385171,NaN,NaN,NaN,NaN,NaN
40,380,2009,12,11,14,40,17,0,0,1,0,0,0,0,782,0,1041.25,1,1,0,2.237637147,20.384,NaN,NaN,NaN,NaN
41,380,2009,12,11,14,40,18,0,0,1,0,0,0,0,782,0,NaN,NaN,3.5,0,2.392352964,20.384,NaN,NaN,NaN,NaN
42,380,2009,12,11,14,40,19,0,0,1,0,0,0,0,782,0,1089.25,6,6,0,2.372807811,22.344,NaN,NaN,NaN,NaN
43,380,2009,12,11,14,40,20,0,0,1,0,0,0,0,782,0,1239.25,8,8,0,1.530529904,NaN,NaN,NaN,NaN,NaN
44,380,2009,12,11,14,40,21,0,0,1,0,0,0,0,782,0,1279.25,11,11,0,-0.615724408,20.384,NaN,NaN,NaN,NaN
45,380,2009,12,11,14,40,22,0,0,1,0,0,0,0,782,0,NaN,NaN,9.5,0,-1.752501158,20.384,NaN,NaN,NaN,NaN
46,380,2009,12,11,14,40,23,0,0,1,0,0,0,0,782,0,1132,8,8,0,-1.890475203,20.384,NaN,NaN,NaN,NaN
